 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
Db major (5b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Bb major (2b), G minor (2b), Bb major (2b), Eb major (3b), Ab major (4b), Ab major (4b), Db major (5b), Ab major (4b)
B major (5#), G minor (2b), G minor (2b), C minor (3b), C minor (3b), F minor (4b), F minor (4b), C minor (3b), G minor (2b), G minor (2b), D minor (1b), G minor (2b), G minor (2b), Bb major (2b), Bb major (2b), G minor (2b)
Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Db major (5b), Db major (5b), Bb major (2b), Bb major (2b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb major (2b)
G# minor (5#), G minor (2b), G minor (2b), C minor (3b), C minor (3b), F minor (4b), F minor (4b), C minor (3b), G minor (2b), G minor (2b), G minor (2b), Bb major (2b), G minor (2b), Bb major (2b), Bb major (2b), G minor (2b)
Gb major (6b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Db major (5b), Db major (5b), Ab major (4b), Eb major (3b), G minor (2b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Db major (5b), Ab major (4b)
F# major (6#), C minor (3b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), C minor (3b), C minor (3b), C minor (3b), G minor (2b), G minor (2b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), C minor (3b)
Eb minor (6b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), G minor (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b)
D# minor (6#), C minor (3b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), C minor (3b), C minor (3b), C minor (3b), G minor (2b), G minor (2b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), C minor (3b)
Cb major (7b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), F major (1b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Db major (5b), Ab major (4b)
C# major (7#), G minor (2b), G minor (2b), Bb major (2b), Bb major (2b), Eb major (3b), C minor (3b), C minor (3b), G minor (2b), G minor (2b), G minor (2b), Bb major (2b), G minor (2b), Bb major (2b), Bb major (2b), G minor (2b)
Ab minor (7b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), F major (1b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b)
A# minor (7#), G minor (2b), G minor (2b), Bb major (2b), Bb major (2b), Eb major (3b), C minor (3b), C minor (3b), G minor (2b), G minor (2b), G minor (2b), Bb major (2b), G minor (2b), Bb major (2b), Bb major (2b), G minor (2b)
