 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, rowcost
F lydian (1b), 2+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:2, 2+0:0:0:0:0, 7+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 7+0:0:1:0:1, 5+0:0:1:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:1, 6+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 6+1:0:1:0:2, 6+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:1:0:1, 2+0:0:0:0:0, 221+1:0:16:0:20
G lydian (1#), 3+0:2:0:0:0, 4+0:3:1:0:1, 8+0:5:1:0:2, 4+0:2:0:0:0, 3+0:1:0:0:0, 4+0:2:0:0:0, 5+0:3:0:0:0, 4+0:2:0:0:0, 3+0:2:0:0:0, 4+0:3:1:0:1, 8+0:5:1:0:2, 4+0:2:0:0:0, 3+0:1:0:0:0, 4+0:2:0:0:0, 3+0:3:0:0:0, 5+0:3:0:0:1, 5+0:3:0:0:0, 6+0:4:1:0:2, 4+0:2:0:0:0, 9+0:4:0:0:0, 6+0:3:0:0:1, 4+0:2:0:0:0, 7+0:4:0:0:0, 6+0:4:0:0:1, 3+0:2:0:0:0, 4+0:3:1:0:1, 8+0:5:1:0:2, 4+0:2:0:0:0, 3+0:1:0:0:0, 4+0:2:0:0:0, 3+0:3:0:0:0, 3+0:2:0:0:0, 6+0:4:1:0:1, 7+0:6:1:0:2, 6+0:5:1:0:2, 5+0:2:0:0:0, 5+0:2:0:0:0, 7+0:4:0:0:1, 4+0:2:0:0:0, 6+0:3:0:0:0, 3+0:2:0:0:0, 4+0:3:1:0:1, 7+0:5:1:0:2, 5+0:2:0:0:0, 4+0:2:0:0:0, 4+0:2:0:0:0, 6+0:3:0:0:0, 3+0:3:0:0:1, 4+0:3:0:0:0, 5+0:3:1:0:1, 5+0:2:0:0:0, 6+0:3:0:0:0, 5+0:2:0:0:0, 3+0:1:0:0:0, 5+0:3:0:0:0, 4+0:2:0:0:0, 4+0:2:0:0:0, 7+1:4:1:0:1, 7+0:5:1:0:2, 5+0:3:0:0:1, 3+0:1:0:0:0, 6+0:3:0:0:0, 4+0:3:0:0:0, 7+0:5:1:0:2, 2+0:2:0:0:0, 312+1:184:16:0:31
F mixolydian (1b), 0+0:0:0:0:0, 2+0:0:1:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:2, 0+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:1:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:1, 5+0:0:1:0:1, 3+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:1, 4+0:0:1:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:2:0:2, 4+0:0:1:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 0+0:0:0:0:0, 137+0:0:17:0:20
G mixolydian (1#), 2+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:1:0:2, 2+0:0:0:0:0, 7+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 7+0:0:1:0:1, 5+0:0:1:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:1, 6+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 6+1:0:1:0:2, 6+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:1:0:1, 2+0:0:0:0:0, 221+1:0:16:0:20
F aeolian (1b), 1+0:0:0:0:0, 3+0:0:1:0:1, 5+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:1, 5+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:1:0:2, 1+0:0:0:0:0, 6+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:1:0:1, 5+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:1:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:1, 5+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:2:0:2, 5+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:1, 1+0:0:0:0:0, 181+0:0:17:0:20
G aeolian (1#), 2+0:0:0:0:0, 4+0:0:1:0:1, 7+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 7+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:1:0:1, 3+0:0:0:0:0, 8+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:0:0:0, 6+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:1:0:1, 7+0:0:1:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:1, 7+0:0:1:0:1, 6+0:0:1:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:1, 7+0:0:1:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:1, 4+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 7+1:0:1:0:2, 7+0:0:1:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:1:0:1, 2+0:0:0:0:0, 269+1:0:16:0:19
F locrian (1b), 0+0:0:0:0:0, 1+0:0:1:0:1, 3+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:1:0:1, 3+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 0+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:1:0:1, 3+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:1:0:1, 4+0:0:1:0:1, 2+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:1:1:0:2, 3+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:2:0:2, 3+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:1:0:1, 0+0:0:0:0:0, 109+0:1:17:0:18
G locrian (1#), 1+0:0:0:0:0, 3+0:0:1:0:1, 5+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:1, 5+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:1:0:2, 1+0:0:0:0:0, 6+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:0, 4+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:1:0:1, 5+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:1, 6+0:0:1:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:1, 5+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:2:0:2, 5+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:1, 1+0:0:0:0:0, 181+0:0:17:0:20
Bb major (2b), 0+0:0:0:0:0, 2+0:0:1:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:1:0:2, 0+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:1:0:1, 4+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:1, 5+0:0:1:0:1, 3+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:1:0:1, 4+0:0:1:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:2:0:2, 4+0:0:1:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 0+0:0:0:0:0, 137+0:0:17:0:20
D major (2#), 3+0:2:0:0:0, 4+0:3:1:0:1, 8+0:5:1:0:2, 4+0:2:0:0:0, 3+0:1:0:0:0, 4+0:2:0:0:0, 5+0:3:0:0:0, 4+0:2:0:0:0, 3+0:2:0:0:0, 4+0:3:1:0:1, 8+0:5:1:0:2, 4+0:2:0:0:0, 3+0:1:0:0:0, 4+0:2:0:0:0, 3+0:3:0:0:0, 5+0:3:0:0:1, 5+0:3:0:0:0, 6+0:4:1:0:2, 4+0:2:0:0:0, 9+0:4:0:0:0, 6+0:3:0:0:1, 4+0:2:0:0:0, 7+0:4:0:0:0, 6+0:4:0:0:1, 3+0:2:0:0:0, 4+0:3:1:0:1, 8+0:5:1:0:2, 4+0:2:0:0:0, 3+0:1:0:0:0, 4+0:2:0:0:0, 3+0:3:0:0:0, 3+0:2:0:0:0, 6+0:4:1:0:1, 7+0:6:1:0:2, 6+0:5:1:0:2, 5+0:2:0:0:0, 5+0:2:0:0:0, 7+0:4:0:0:1, 4+0:2:0:0:0, 6+0:3:0:0:0, 3+0:2:0:0:0, 4+0:3:1:0:1, 7+0:5:1:0:2, 5+0:2:0:0:0, 4+0:2:0:0:0, 4+0:2:0:0:0, 6+0:3:0:0:0, 3+0:3:0:0:1, 4+0:3:0:0:0, 5+0:3:1:0:1, 5+0:2:0:0:0, 6+0:3:0:0:0, 5+0:2:0:0:0, 3+0:1:0:0:0, 5+0:3:0:0:0, 4+0:2:0:0:0, 4+0:2:0:0:0, 7+1:4:1:0:1, 7+0:5:1:0:2, 5+0:3:0:0:1, 3+0:1:0:0:0, 6+0:3:0:0:0, 4+0:3:0:0:0, 7+0:5:1:0:2, 2+0:2:0:0:0, 312+1:184:16:0:31
G minor (2b), 0+0:0:0:0:0, 3+0:0:1:0:1, 5+0:0:1:0:2, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:1, 5+0:0:1:0:2, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 4+0:0:0:0:0, 5+0:0:1:0:2, 1+0:0:0:0:0, 6+0:0:0:0:1, 5+0:0:0:0:1, 2+0:0:0:0:0, 6+0:0:0:0:0, 5+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:1:0:1, 5+0:0:1:0:2, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:1, 5+0:0:1:0:2, 4+0:0:1:0:2, 4+0:1:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:1, 5+0:0:1:0:2, 4+0:1:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:2:0:3, 5+0:0:1:0:2, 4+0:0:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:1, 4+0:0:1:0:2, 0+0:0:0:0:0, 185+0:3:17:0:35
B minor (2#), 3+0:2:0:0:2, 4+0:3:1:0:4, 8+0:5:1:0:6, 4+0:2:0:0:3, 4+0:1:0:0:2, 4+0:2:0:0:3, 5+0:3:0:0:3, 4+0:2:0:0:3, 3+0:2:0:0:2, 4+0:3:1:0:4, 8+0:5:1:0:6, 4+0:2:0:0:3, 4+0:1:0:0:2, 4+0:2:0:0:3, 3+0:3:0:0:3, 5+0:3:0:0:3, 5+0:3:0:0:4, 6+0:4:1:0:5, 4+0:2:0:0:3, 9+0:4:0:0:5, 7+0:2:0:0:3, 5+0:2:0:0:3, 7+0:2:0:0:3, 6+0:4:0:0:5, 3+0:2:0:0:2, 4+0:3:1:0:4, 8+0:5:1:0:6, 4+0:2:0:0:3, 4+0:1:0:0:2, 4+0:2:0:0:3, 3+0:3:0:0:3, 3+0:2:0:0:3, 6+0:4:1:0:5, 7+0:6:1:0:6, 6+0:5:1:0:6, 5+0:2:0:0:3, 6+0:1:0:0:2, 7+0:4:0:0:5, 4+0:2:0:0:3, 6+0:3:0:0:4, 3+0:2:0:0:3, 4+0:3:1:0:3, 7+0:5:1:0:6, 5+0:2:0:0:3, 5+0:2:0:0:3, 4+0:2:0:0:3, 6+0:2:0:0:3, 3+0:3:0:0:3, 4+0:3:0:0:3, 5+0:3:1:0:4, 5+0:2:0:0:3, 6+0:3:0:0:4, 6+0:2:0:0:3, 4+0:1:0:0:2, 5+0:2:0:0:3, 4+0:2:0:0:3, 4+0:2:0:0:3, 7+1:3:1:0:4, 7+0:5:1:0:6, 5+0:3:0:0:4, 4+0:1:0:0:2, 6+0:2:0:0:3, 5+0:3:0:0:3, 7+0:5:1:0:6, 2+0:2:0:0:2, 323+1:176:16:0:228
G minor mel (2b), 1+0:0:0:0:0, 4+0:0:1:0:1, 6+0:0:1:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:1, 6+0:0:1:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 5+0:0:0:0:0, 6+0:0:1:0:2, 2+0:0:0:0:0, 7+0:0:0:0:1, 6+0:0:0:0:1, 3+0:0:0:0:0, 7+0:0:0:0:0, 5+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:1:0:1, 6+0:0:1:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 6+0:0:1:0:2, 5+0:0:1:0:2, 3+0:1:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 6+0:0:1:0:2, 3+0:1:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:1, 4+0:0:0:0:0, 5+0:0:1:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 8+0:0:2:0:3, 6+0:0:1:0:2, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:1:0:0:0, 3+0:0:0:0:1, 5+0:0:1:0:2, 1+0:0:0:0:0, 229+0:3:17:0:35
B minor mel (2#), 4+0:2:0:0:2, 5+0:3:1:0:4, 9+0:5:1:0:6, 5+0:2:0:0:3, 5+0:1:0:0:2, 5+0:2:0:0:3, 6+0:3:0:0:3, 4+0:2:0:0:3, 4+0:2:0:0:2, 5+0:3:1:0:4, 9+0:5:1:0:6, 5+0:2:0:0:3, 5+0:1:0:0:2, 5+0:2:0:0:3, 4+0:3:0:0:3, 6+0:3:0:0:3, 6+0:3:0:0:4, 6+0:4:1:0:5, 5+0:2:0:0:3, 10+0:4:0:0:5, 7+0:2:0:1:4, 6+0:2:0:0:3, 7+1:1:0:0:2, 6+0:4:0:0:5, 4+0:2:0:0:2, 5+0:3:1:0:4, 9+0:5:1:0:6, 5+0:2:0:0:3, 5+0:1:0:0:2, 5+0:2:0:0:3, 4+0:3:0:0:3, 4+0:2:0:0:3, 7+0:4:1:0:5, 6+1:5:1:0:5, 7+0:5:1:0:6, 6+0:2:0:0:3, 7+0:1:0:0:2, 8+0:4:0:0:5, 5+0:2:0:0:3, 7+0:3:0:0:4, 4+0:2:0:0:3, 5+0:3:1:0:3, 8+0:5:1:0:6, 6+0:2:0:0:3, 6+0:2:0:0:3, 5+0:2:0:0:3, 7+0:2:0:0:3, 4+0:3:0:0:3, 5+0:3:0:0:3, 5+0:3:1:0:4, 6+0:2:0:0:3, 7+0:3:0:0:4, 7+0:2:0:0:3, 5+0:1:0:0:2, 6+0:2:0:0:3, 5+0:2:0:0:3, 5+0:2:0:0:3, 8+1:3:1:0:4, 8+0:5:1:0:6, 6+0:3:0:0:4, 5+0:1:0:0:2, 6+0:2:0:0:3, 6+0:3:0:0:3, 7+0:5:1:0:6, 3+0:2:0:0:2, 378+3:174:16:1:227
Bb major blues (2b), 2+0:0:0:0:0, 3+0:0:1:0:0, 5+0:0:1:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:0, 5+0:0:1:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 6+0:0:1:0:0, 2+0:0:0:0:0, 7+0:0:0:0:1, 7+0:0:0:0:1, 4+0:0:0:0:0, 6+0:0:0:0:1, 5+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:0, 5+0:0:1:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:0, 6+0:0:1:0:0, 4+0:0:1:0:0, 4+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 5+0:1:1:0:1, 5+0:0:1:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:1:0:0, 3+0:0:0:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 7+0:0:2:0:0, 5+0:0:1:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:1:0:0, 1+0:0:0:0:0, 232+0:1:17:0:13
