 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, rowcost
C minor (3b), 3+0:2:0:0:1, 2+0:2:0:0:1, 1+0:1:0:0:0, 2+0:1:0:0:1, 2+0:1:0:0:1, 4+0:2:0:0:2, 2+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 5+0:0:1:1:3, 1+0:0:0:0:0, 2+0:1:0:0:0, 4+0:2:0:0:1, 2+0:0:0:0:0, 5+1:1:0:1:1, 4+0:2:0:0:1, 2+0:2:0:0:1, 1+0:1:0:0:0, 2+0:1:0:0:1, 2+0:1:0:0:1, 4+0:2:0:0:2, 2+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 3+0:2:0:0:1, 2+0:1:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 0+0:0:0:0:0, 4+0:2:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 80+1:34:1:2:22
F# minor (3#), 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 6+0:5:1:1:4, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 6+1:4:0:1:4, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 4+0:1:0:0:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 3+0:1:0:0:2, 4+0:3:0:0:3, 76+1:14:1:2:26
C minor mel (3b), 3+0:2:0:0:1, 2+0:2:0:0:1, 2+0:1:0:0:0, 2+0:1:0:0:1, 1+0:1:0:0:1, 3+0:2:0:0:2, 1+0:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:1:0:0:0, 5+0:0:1:1:3, 1+0:0:0:0:0, 1+0:1:0:0:0, 3+0:2:0:0:1, 1+0:0:0:0:0, 4+1:1:0:1:1, 3+0:2:0:0:1, 2+0:2:0:0:1, 2+0:1:0:0:0, 2+0:1:0:0:1, 1+0:1:0:0:1, 3+0:2:0:0:2, 1+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 1+0:1:0:0:0, 2+0:2:0:0:1, 2+0:1:0:0:0, 2+0:1:0:0:0, 1+0:1:0:0:0, 0+0:0:0:0:0, 3+0:2:0:0:1, 0+0:0:0:0:0, 4+0:0:0:0:1, 62+1:34:1:2:22
F# minor mel (3#), 4+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 7+0:5:1:1:4, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 7+1:4:0:1:4, 4+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 5+0:1:0:0:3, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:0:0:1, 4+0:1:0:0:2, 4+0:3:0:0:3, 97+1:14:1:2:26
Eb major blues (3b), 4+0:2:0:0:3, 5+0:2:0:0:3, 5+0:1:0:0:2, 4+0:1:0:0:3, 3+0:1:0:0:2, 6+0:2:0:0:4, 4+0:1:0:0:2, 1+0:0:0:0:1, 3+0:0:0:0:1, 3+0:1:0:0:1, 6+0:0:1:1:1, 3+0:0:0:0:2, 3+0:1:0:0:1, 5+0:2:0:0:3, 3+0:0:0:0:2, 7+1:1:0:1:2, 5+0:2:0:0:3, 5+0:2:0:0:3, 5+0:1:0:0:2, 4+0:1:0:0:3, 3+0:1:0:0:2, 6+0:2:0:0:4, 4+0:1:0:0:2, 1+0:0:0:0:1, 3+0:0:0:0:2, 5+0:1:0:0:3, 4+0:1:0:0:2, 6+0:2:0:0:3, 5+0:0:0:0:2, 4+0:1:0:0:2, 5+0:1:0:0:2, 3+0:0:0:0:1, 6+0:2:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:0, 146+1:33:1:2:74
A major blues (3#), 3+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 7+0:5:1:1:4, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 7+1:4:0:1:3, 3+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:1:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 4+0:1:0:0:1, 4+0:3:0:0:2, 90+1:14:1:2:16
C minor blues (3b), 4+0:2:0:0:3, 5+0:2:0:0:3, 5+0:1:0:0:2, 4+0:1:0:0:3, 3+0:1:0:0:2, 6+0:2:0:0:4, 4+0:1:0:0:2, 1+0:0:0:0:1, 3+0:0:0:0:1, 3+0:1:0:0:1, 6+0:0:1:1:1, 3+0:0:0:0:2, 3+0:1:0:0:1, 5+0:2:0:0:3, 3+0:0:0:0:2, 7+1:1:0:1:2, 5+0:2:0:0:3, 5+0:2:0:0:3, 5+0:1:0:0:2, 4+0:1:0:0:3, 3+0:1:0:0:2, 6+0:2:0:0:4, 4+0:1:0:0:2, 1+0:0:0:0:1, 3+0:0:0:0:2, 5+0:1:0:0:3, 4+0:1:0:0:2, 6+0:2:0:0:3, 5+0:0:0:0:2, 4+0:1:0:0:2, 5+0:1:0:0:2, 3+0:0:0:0:1, 6+0:2:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:0, 146+1:33:1:2:74
F# minor blues (3#), 3+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 7+0:5:1:1:4, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 7+1:4:0:1:3, 3+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:1:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 4+0:1:0:0:1, 4+0:3:0:0:2, 90+1:14:1:2:16
Eb dorian (3b), 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:1:3, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+1:0:0:1:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 86+1:0:1:2:22
A dorian (3#), 3+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 7+0:5:1:1:4, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 7+1:4:0:1:3, 3+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:1:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 4+0:1:0:0:1, 4+0:3:0:0:2, 83+1:14:1:2:16
Eb phrygian (3b), 4+0:2:0:0:2, 4+0:2:0:0:3, 3+0:1:0:0:2, 4+0:1:0:0:2, 3+0:1:0:0:2, 5+0:2:0:0:3, 3+0:1:0:0:2, 1+0:0:0:0:1, 3+0:0:0:0:1, 3+0:1:0:0:1, 6+0:0:1:1:1, 2+0:0:0:0:1, 2+0:1:0:0:1, 4+0:2:0:0:2, 3+0:0:0:0:1, 6+1:1:0:1:2, 5+0:2:0:0:2, 4+0:2:0:0:3, 3+0:1:0:0:2, 4+0:1:0:0:2, 3+0:1:0:0:2, 5+0:2:0:0:3, 3+0:1:0:0:2, 1+0:0:0:0:1, 3+0:0:0:0:1, 4+0:1:0:0:2, 4+0:1:0:0:2, 5+0:2:0:0:3, 4+0:0:0:0:1, 4+0:1:0:0:1, 4+0:1:0:0:2, 2+0:0:0:0:1, 5+0:2:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:0, 124+1:33:1:2:60
A phrygian (3#), 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:1:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 6+0:5:1:1:3, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+1:4:0:1:2, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:1:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 2+0:1:0:0:0, 4+0:3:0:0:2, 47+1:16:1:2:21
Eb lydian (3b), 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:1:3, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+1:0:0:1:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 86+1:0:1:2:22
A lydian (3#), 3+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 7+0:5:1:1:4, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 7+1:4:0:1:3, 3+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:1:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 4+0:1:0:0:1, 4+0:3:0:0:2, 83+1:14:1:2:16
Eb mixolydian (3b), 4+0:2:0:0:2, 4+0:2:0:0:3, 3+0:1:0:0:2, 4+0:1:0:0:2, 3+0:1:0:0:2, 5+0:2:0:0:3, 3+0:1:0:0:2, 1+0:0:0:0:1, 3+0:0:0:0:1, 3+0:1:0:0:1, 6+0:0:1:1:1, 2+0:0:0:0:1, 2+0:1:0:0:1, 4+0:2:0:0:2, 3+0:0:0:0:1, 6+1:1:0:1:2, 5+0:2:0:0:2, 4+0:2:0:0:3, 3+0:1:0:0:2, 4+0:1:0:0:2, 3+0:1:0:0:2, 5+0:2:0:0:3, 3+0:1:0:0:2, 1+0:0:0:0:1, 3+0:0:0:0:1, 4+0:1:0:0:2, 4+0:1:0:0:2, 5+0:2:0:0:3, 4+0:0:0:0:1, 4+0:1:0:0:1, 4+0:1:0:0:2, 2+0:0:0:0:1, 5+0:2:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:0, 124+1:33:1:2:60
A mixolydian (3#), 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:1:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 6+0:5:1:1:3, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+1:4:0:1:2, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:1:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 2+0:1:0:0:0, 4+0:3:0:0:2, 47+1:16:1:2:21
Eb aeolian (3b), 3+0:2:0:0:2, 3+0:2:0:0:2, 2+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 5+0:2:0:0:2, 3+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:1, 5+0:0:1:1:2, 2+0:0:0:0:0, 2+0:1:0:0:1, 4+0:2:0:0:2, 3+0:0:0:0:0, 5+1:1:0:1:2, 4+0:2:0:0:2, 3+0:2:0:0:2, 2+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 5+0:2:0:0:2, 3+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:1, 3+0:1:0:0:1, 4+0:2:0:0:2, 3+0:0:0:0:0, 3+0:1:0:0:1, 3+0:1:0:0:1, 1+0:0:0:0:0, 4+0:2:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 104+1:33:1:2:36
A aeolian (3#), 2+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 6+0:5:1:1:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 6+1:4:0:1:2, 2+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:1:0:0:0, 4+0:3:0:0:2, 62+1:14:1:2:13
Eb locrian (3b), 4+0:2:0:0:3, 5+0:2:0:0:3, 4+0:1:0:0:2, 4+0:1:0:0:3, 3+0:1:0:0:2, 6+0:2:0:0:4, 4+0:1:0:0:2, 1+0:0:0:0:1, 3+0:0:0:0:1, 3+0:1:0:0:1, 5+0:0:1:1:1, 3+0:0:0:0:2, 3+0:1:0:0:1, 5+0:2:0:0:3, 3+0:0:0:0:2, 7+1:1:0:1:2, 5+0:2:0:0:3, 5+0:2:0:0:3, 4+0:1:0:0:2, 4+0:1:0:0:3, 3+0:1:0:0:2, 6+0:2:0:0:4, 4+0:1:0:0:2, 1+0:0:0:0:1, 3+0:0:0:0:2, 5+0:1:0:0:3, 4+0:1:0:0:2, 6+0:2:0:0:3, 5+0:0:0:0:2, 4+0:1:0:0:2, 5+0:1:0:0:2, 3+0:0:0:0:1, 6+0:2:0:0:3, 4+0:0:0:0:1, 1+0:0:0:0:0, 141+1:33:1:2:74
A locrian (3#), 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:2, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 6+0:0:1:1:3, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 4+1:0:0:1:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:2, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 37+1:0:1:2:22
Ab major (4b), 4+0:2:0:0:2, 4+0:2:0:0:3, 3+0:1:0:0:2, 4+0:1:0:0:2, 3+0:1:0:0:2, 5+0:2:0:0:3, 3+0:1:0:0:2, 1+0:0:0:0:1, 3+0:0:0:0:1, 3+0:1:0:0:1, 6+0:0:1:1:1, 2+0:0:0:0:1, 2+0:1:0:0:1, 4+0:2:0:0:2, 3+0:0:0:0:1, 6+1:1:0:1:2, 5+0:2:0:0:2, 4+0:2:0:0:3, 3+0:1:0:0:2, 4+0:1:0:0:2, 3+0:1:0:0:2, 5+0:2:0:0:3, 3+0:1:0:0:2, 1+0:0:0:0:1, 3+0:0:0:0:1, 4+0:1:0:0:2, 4+0:1:0:0:2, 5+0:2:0:0:3, 4+0:0:0:0:1, 4+0:1:0:0:1, 4+0:1:0:0:2, 2+0:0:0:0:1, 5+0:2:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:0, 124+1:33:1:2:60
E major (4#), 3+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 7+0:5:1:1:4, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 7+1:4:0:1:3, 3+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:1:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 4+0:1:0:0:1, 4+0:3:0:0:2, 83+1:14:1:2:16
F minor (4b), 3+0:2:0:0:2, 4+0:2:0:0:2, 3+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 4+0:2:0:0:2, 3+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 7+0:0:1:1:2, 1+0:0:0:0:0, 2+0:1:0:0:1, 3+0:2:0:0:2, 2+0:0:0:0:0, 7+1:1:0:1:2, 4+0:2:0:0:2, 4+0:2:0:0:2, 3+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 4+0:2:0:0:2, 3+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 5+0:1:0:0:1, 5+0:2:0:0:2, 3+0:0:0:0:0, 3+0:1:0:0:1, 4+0:1:0:0:1, 2+0:0:0:0:0, 4+0:2:0:0:2, 4+0:0:0:0:0, 2+0:0:0:0:0, 114+1:33:1:2:36
C# minor (4#), 3+0:0:0:0:1, 5+0:0:0:0:2, 4+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 7+0:5:1:1:5, 2+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:0, 7+1:4:0:1:5, 3+0:0:0:0:1, 5+0:0:0:0:2, 4+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:1:1:0:1, 3+0:0:0:0:2, 6+0:1:0:0:3, 4+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:2, 5+0:1:0:0:3, 4+0:3:0:0:4, 107+1:15:2:2:47
F minor mel (4b), 2+0:2:0:0:2, 3+0:2:0:0:2, 2+0:1:0:0:1, 2+0:1:0:0:1, 3+0:1:0:0:1, 4+0:2:0:0:2, 3+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:1, 6+0:0:1:1:2, 1+0:0:0:0:0, 2+0:1:0:0:1, 3+0:2:0:0:2, 2+0:0:0:0:0, 6+1:1:0:1:2, 3+0:2:0:0:2, 3+0:2:0:0:2, 2+0:1:0:0:1, 2+0:1:0:0:1, 3+0:1:0:0:1, 4+0:2:0:0:2, 3+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 4+0:1:0:0:1, 4+0:2:0:0:2, 2+0:0:0:0:0, 2+0:1:0:0:1, 3+0:1:0:0:1, 1+0:0:0:0:0, 3+0:2:0:0:2, 3+0:0:0:0:0, 3+0:0:0:0:0, 94+1:33:1:2:36
C# minor mel (4#), 2+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 7+0:5:1:1:5, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 8+1:4:0:1:5, 4+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 1+0:0:0:0:0, 2+0:1:1:0:1, 4+0:0:0:0:2, 7+0:1:0:0:3, 5+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 5+0:0:0:0:2, 3+0:0:0:0:1, 5+0:0:0:0:2, 6+0:1:0:0:3, 4+0:3:0:0:4, 124+1:15:2:2:47
Ab major blues (4b), 5+0:2:0:0:3, 6+0:2:0:0:3, 4+0:1:0:0:2, 4+0:1:0:0:3, 3+0:1:0:0:2, 6+0:2:0:0:4, 4+0:1:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:1, 4+0:1:0:0:2, 6+0:0:0:1:0, 3+0:0:0:0:2, 3+0:1:0:0:2, 5+0:2:0:0:4, 3+0:0:0:0:2, 8+1:1:0:1:2, 6+0:2:0:0:4, 6+0:2:0:0:3, 4+0:1:0:0:2, 4+0:1:0:0:3, 3+0:1:0:0:2, 6+0:2:0:0:4, 4+0:1:0:0:2, 1+0:0:0:0:0, 4+0:0:0:0:1, 6+0:1:0:0:4, 5+0:1:0:0:3, 6+0:2:0:0:4, 5+0:0:0:0:2, 5+0:1:0:0:3, 6+0:1:0:0:2, 3+0:0:0:0:1, 7+0:2:0:0:4, 5+0:0:0:0:2, 3+0:0:0:0:0, 157+1:33:0:2:80
E major blues (4#), 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 7+0:5:1:1:4, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 8+1:4:0:1:3, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+0:1:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 5+0:1:0:0:1, 4+0:3:0:0:3, 107+1:14:1:2:12
F minor blues (4b), 5+0:2:0:0:3, 6+0:2:0:0:3, 4+0:1:0:0:2, 4+0:1:0:0:3, 3+0:1:0:0:2, 6+0:2:0:0:4, 4+0:1:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:1, 4+0:1:0:0:2, 6+0:0:0:1:0, 3+0:0:0:0:2, 3+0:1:0:0:2, 5+0:2:0:0:4, 3+0:0:0:0:2, 8+1:1:0:1:2, 6+0:2:0:0:4, 6+0:2:0:0:3, 4+0:1:0:0:2, 4+0:1:0:0:3, 3+0:1:0:0:2, 6+0:2:0:0:4, 4+0:1:0:0:2, 1+0:0:0:0:0, 4+0:0:0:0:1, 6+0:1:0:0:4, 5+0:1:0:0:3, 6+0:2:0:0:4, 5+0:0:0:0:2, 5+0:1:0:0:3, 6+0:1:0:0:2, 3+0:0:0:0:1, 7+0:2:0:0:4, 5+0:0:0:0:2, 3+0:0:0:0:0, 157+1:33:0:2:80
