 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, rowcost
C locrian (0), 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 121+0:0:0:0:6
F major (1b), 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 5+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 139+0:0:0:0:6
G major (1#), 1+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 7+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 6+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 6+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:0:0:1, 5+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 182+0:0:0:0:5
D minor (1b), 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:1:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 6+0:1:0:0:0, 2+0:0:0:0:0, 6+0:1:0:0:1, 3+0:1:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 5+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:2:0:0:1, 5+0:0:0:0:3, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 5+0:0:0:0:2, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:1, 5+0:0:0:0:1, 2+0:0:0:0:0, 196+0:6:0:0:53
E minor (1#), 2+0:1:0:0:1, 5+0:2:0:0:2, 2+0:1:0:0:1, 3+0:1:0:0:1, 2+0:1:0:0:1, 5+0:2:0:0:2, 3+0:1:0:0:1, 4+0:3:0:0:3, 4+0:3:0:0:3, 4+0:3:0:0:3, 2+0:1:0:0:1, 2+0:1:0:0:1, 1+0:1:0:0:1, 2+0:1:0:0:1, 3+0:1:0:0:1, 1+0:1:0:0:1, 7+0:4:0:0:4, 3+0:2:0:0:2, 4+0:3:0:0:3, 2+0:1:0:0:1, 3+0:2:0:0:2, 8+0:4:0:0:4, 4+0:2:0:0:2, 4+0:1:0:0:1, 2+0:1:0:0:1, 3+0:1:0:0:1, 2+0:1:0:0:1, 4+0:2:0:0:2, 1+0:1:0:0:1, 5+1:1:0:0:1, 1+0:1:0:0:1, 2+0:0:0:0:0, 3+0:2:0:0:2, 3+0:1:0:0:1, 3+0:1:0:0:1, 6+1:1:0:0:1, 1+0:1:0:0:1, 6+0:2:0:0:2, 5+0:0:0:0:0, 1+0:1:0:0:1, 4+0:1:0:0:1, 6+0:4:0:0:4, 4+0:3:0:0:3, 2+0:1:0:0:1, 2+0:1:0:0:1, 3+0:1:0:0:1, 2+0:1:0:0:1, 2+0:1:0:0:1, 4+0:1:0:0:1, 6+0:4:0:0:4, 2+0:1:0:0:1, 2+0:1:0:0:1, 4+0:1:0:0:1, 7+0:4:0:0:4, 6+0:3:0:0:3, 3+0:1:0:0:1, 1+0:1:0:0:1, 4+0:2:0:0:2, 3+0:1:0:0:1, 3+0:1:0:0:1, 1+0:1:0:0:1, 5+0:2:0:0:2, 4+0:2:0:0:2, 5+0:2:0:0:2, 1+0:1:0:0:1, 214+2:102:0:0:102
D minor mel (1b), 2+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:1:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 6+0:0:0:0:2, 4+0:0:0:0:1, 4+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 5+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 7+0:1:0:0:0, 2+0:0:0:0:0, 5+0:1:0:0:1, 2+0:1:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:2, 6+0:0:0:0:2, 4+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:2:0:0:1, 6+0:0:0:0:3, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 6+0:0:0:0:2, 4+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:0, 196+0:7:0:0:54
E minor mel (1#), 3+0:1:0:0:1, 6+0:2:0:0:2, 3+0:1:0:0:1, 4+0:1:0:0:1, 3+0:1:0:0:1, 6+0:2:0:0:2, 4+0:1:0:0:1, 5+0:3:0:0:3, 5+0:3:0:0:3, 5+0:3:0:0:3, 3+0:1:0:0:1, 3+0:1:0:0:1, 2+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 2+0:1:0:0:1, 8+0:4:0:0:4, 4+0:2:0:0:2, 5+0:3:0:0:3, 3+0:1:0:0:1, 4+0:2:0:0:2, 7+0:4:0:0:4, 5+0:2:0:0:2, 4+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 3+0:1:0:0:1, 4+0:2:0:0:2, 2+0:1:0:0:1, 6+1:1:0:0:1, 2+0:1:0:0:1, 2+0:0:0:0:0, 4+0:2:0:0:2, 4+0:1:0:0:1, 4+0:1:0:0:1, 7+1:1:0:0:1, 2+0:1:0:0:1, 7+0:2:0:0:2, 4+0:0:0:0:0, 2+0:1:0:0:1, 5+0:1:0:0:1, 7+0:4:0:0:4, 5+0:3:0:0:3, 3+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 5+0:1:0:0:1, 7+0:4:0:0:4, 3+0:1:0:0:1, 3+0:1:0:0:1, 5+0:1:0:0:1, 8+0:4:0:0:4, 6+0:3:0:0:3, 4+0:1:0:0:1, 2+0:1:0:0:1, 5+0:2:0:0:2, 4+0:1:0:0:1, 4+0:1:0:0:1, 2+0:1:0:0:1, 6+0:2:0:0:2, 5+0:2:0:0:2, 6+0:2:0:0:2, 2+0:1:0:0:1, 271+2:102:0:0:102
F major blues (1b), 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 6+0:1:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 7+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 5+0:1:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:1:0:0:1, 6+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 183+0:4:0:0:4
G major blues (1#), 3+0:1:0:0:0, 5+0:1:0:0:0, 3+0:1:0:0:0, 4+0:1:0:0:0, 3+0:1:0:0:0, 5+0:1:0:0:0, 3+0:1:0:0:0, 5+0:2:0:0:1, 5+0:2:0:0:1, 5+0:2:0:0:1, 3+0:1:0:0:0, 4+0:2:0:0:0, 2+0:1:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 2+0:1:0:0:0, 7+0:2:0:0:1, 4+0:1:0:0:0, 5+0:2:0:0:1, 3+0:1:0:0:0, 4+0:2:0:0:1, 7+0:2:0:0:0, 4+0:1:0:0:0, 4+0:2:0:0:0, 2+0:1:0:0:0, 4+0:1:0:0:0, 2+0:1:0:0:0, 4+0:1:0:0:0, 2+0:1:0:0:0, 6+0:1:0:0:0, 2+0:1:0:0:0, 2+0:0:0:0:0, 4+0:2:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 8+0:2:0:0:0, 2+0:1:0:0:0, 7+0:2:0:0:0, 5+0:1:0:0:0, 2+0:0:0:0:0, 5+0:1:0:0:0, 7+0:2:0:0:1, 5+0:2:0:0:1, 3+0:1:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 5+0:0:0:0:1, 7+0:3:0:0:2, 3+0:1:0:0:0, 3+0:1:0:0:0, 4+0:1:0:0:0, 7+0:3:0:0:1, 5+0:2:0:0:0, 4+0:1:0:0:0, 2+0:1:0:0:0, 5+0:2:0:0:0, 5+0:2:0:0:0, 4+0:1:0:0:0, 2+0:1:0:0:0, 6+0:2:0:0:0, 5+0:2:0:0:0, 6+0:2:0:0:0, 2+0:1:0:0:0, 266+0:86:0:0:12
D minor blues (1b), 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 6+0:1:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 7+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 5+0:1:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:1:0:0:1, 6+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 183+0:4:0:0:4
E minor blues (1#), 3+0:1:0:0:0, 5+0:1:0:0:0, 3+0:1:0:0:0, 4+0:1:0:0:0, 3+0:1:0:0:0, 5+0:1:0:0:0, 3+0:1:0:0:0, 5+0:2:0:0:1, 5+0:2:0:0:1, 5+0:2:0:0:1, 3+0:1:0:0:0, 4+0:2:0:0:0, 2+0:1:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 2+0:1:0:0:0, 7+0:2:0:0:1, 4+0:1:0:0:0, 5+0:2:0:0:1, 3+0:1:0:0:0, 4+0:2:0:0:1, 7+0:2:0:0:0, 4+0:1:0:0:0, 4+0:2:0:0:0, 2+0:1:0:0:0, 4+0:1:0:0:0, 2+0:1:0:0:0, 4+0:1:0:0:0, 2+0:1:0:0:0, 6+0:1:0:0:0, 2+0:1:0:0:0, 2+0:0:0:0:0, 4+0:2:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 8+0:2:0:0:0, 2+0:1:0:0:0, 7+0:2:0:0:0, 5+0:1:0:0:0, 2+0:0:0:0:0, 5+0:1:0:0:0, 7+0:2:0:0:1, 5+0:2:0:0:1, 3+0:1:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 5+0:0:0:0:1, 7+0:3:0:0:2, 3+0:1:0:0:0, 3+0:1:0:0:0, 4+0:1:0:0:0, 7+0:3:0:0:1, 5+0:2:0:0:0, 4+0:1:0:0:0, 2+0:1:0:0:0, 5+0:2:0:0:0, 5+0:2:0:0:0, 4+0:1:0:0:0, 2+0:1:0:0:0, 6+0:2:0:0:0, 5+0:2:0:0:0, 6+0:2:0:0:0, 2+0:1:0:0:0, 266+0:86:0:0:12
F dorian (1b), 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 6+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 5+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 139+0:0:0:0:7
G dorian (1#), 2+0:1:0:0:0, 5+0:2:0:0:0, 3+0:1:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 5+0:2:0:0:0, 3+0:1:0:0:0, 5+0:3:0:0:1, 5+0:3:0:0:1, 5+0:3:0:0:1, 3+0:1:0:0:0, 4+0:2:0:0:0, 2+0:1:0:0:0, 3+0:1:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 7+0:4:0:0:1, 4+0:2:0:0:0, 5+0:3:0:0:1, 3+0:1:0:0:0, 4+0:2:0:0:1, 6+0:4:0:0:0, 4+0:2:0:0:0, 3+0:2:0:0:0, 2+0:1:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 3+0:2:0:0:0, 2+0:1:0:0:0, 6+0:3:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 4+0:2:0:0:0, 3+0:1:0:0:0, 3+0:1:0:0:0, 8+0:4:0:0:0, 2+0:1:0:0:0, 6+0:2:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 4+0:1:0:0:1, 7+0:4:0:0:1, 5+0:3:0:0:1, 3+0:1:0:0:0, 3+0:1:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 4+0:1:0:0:1, 7+0:4:0:0:2, 3+0:1:0:0:0, 3+0:1:0:0:0, 4+0:2:0:0:0, 7+0:4:0:0:1, 5+0:3:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 4+0:2:0:0:0, 4+0:2:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 5+0:2:0:0:0, 4+0:2:0:0:0, 5+0:2:0:0:0, 2+0:1:0:0:0, 239+0:112:0:0:13
F phrygian (1b), 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 121+0:0:0:0:6
G phrygian (1#), 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 6+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 5+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 139+0:0:0:0:7
