 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41
F minor (4b), F major (1b), F minor (4b), F major (1b), F major (1b), F major (1b), G minor (2b), G minor (2b), F major (1b), F minor (4b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), C minor (3b), F minor (4b), F major (1b), F major (1b), C major (0), F major (1b), F major (1b), F minor (4b), C major (0), F major (1b), F minor (4b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F minor (4b), F minor (4b), F major (1b), F major (1b), F major (1b), C minor (3b), C major (0), D minor (1b), F major (1b), F major (1b), F major (1b), F major (1b)
C# minor (4#), E minor (1#), G major (1#), C major (0), C major (0), G major (1#), G major (1#), E minor (1#), B minor (2#), F# minor (3#), A major (3#), C major (0), C major (0), C major (0), C major (0), C minor (3b), C minor (3b), A minor (0), E minor (1#), E minor (1#), A minor (0), A minor (0), A minor (0), A major (3#), A major (3#), F# minor (3#), B minor (2#), D minor (1b), A minor (0), C major (0), C major (0), C minor (3b), C major (0), G major (1#), G major (1#), C major (0), C major (0), G major (1#), E minor (1#), A minor (0), A minor (0), E minor (1#), E minor (1#)
Db major (5b), F major (1b), F minor (4b), Bb major (2b), Bb major (2b), Bb major (2b), G minor (2b), G minor (2b), F major (1b), F minor (4b), F major (1b), Bb major (2b), F major (1b), F minor (4b), F major (1b), Ab major (4b), Ab major (4b), F major (1b), D minor (1b), G minor (2b), Bb major (2b), Bb major (2b), Eb major (3b), C major (0), F major (1b), F minor (4b), F major (1b), Bb major (2b), F major (1b), F minor (4b), F major (1b), Ab major (4b), F minor (4b), F major (1b), F major (1b), Bb major (2b), Eb major (3b), C major (0), D minor (1b), F major (1b), F major (1b), F major (1b), Bb major (2b)
B major (5#), B minor (2#), B minor (2#), D minor (1b), D minor (1b), D major (2#), D major (2#), D major (2#), B minor (2#), B minor (2#), B minor (2#), D minor (1b), A minor (0), C major (0), C major (0), C minor (3b), F major (1b), D major (2#), D major (2#), D major (2#), D minor (1b), A minor (0), A minor (0), E minor (1#), B minor (2#), B minor (2#), B minor (2#), D minor (1b), A minor (0), C major (0), C major (0), C minor (3b), C major (0), D major (2#), D major (2#), G major (1#), G major (1#), D major (2#), D major (2#), G major (1#), G major (1#), E minor (1#), E minor (1#)
Bb minor (5b), F major (1b), F minor (4b), F major (1b), Bb major (2b), Bb major (2b), G minor (2b), G minor (2b), F major (1b), F minor (4b), F major (1b), Bb major (2b), F major (1b), F minor (4b), F major (1b), Bb major (2b), Bb major (2b), F major (1b), D minor (1b), G minor (2b), Bb major (2b), Bb major (2b), Eb minor (6b), G minor (2b), F major (1b), F minor (4b), F major (1b), Bb major (2b), F major (1b), F minor (4b), F major (1b), F minor (4b), F minor (4b), F major (1b), F major (1b), F major (1b), F minor (4b), F major (1b), D minor (1b), F major (1b), F major (1b), F major (1b), Bb major (2b)
G# minor (5#), A minor (0), C minor (3b), C major (0), C major (0), G major (1#), G major (1#), E minor (1#), B minor (2#), B major (5#), B minor (2#), D minor (1b), A minor (0), C major (0), C major (0), C minor (3b), F major (1b), D minor (1b), D major (2#), D major (2#), D minor (1b), A minor (0), A minor (0), E minor (1#), B minor (2#), B major (5#), B minor (2#), D minor (1b), A minor (0), C major (0), C major (0), C minor (3b), C major (0), G major (1#), G major (1#), C major (0), C major (0), G major (1#), D major (2#), G major (1#), G major (1#), E minor (1#), C# minor (4#)
Gb major (6b), C major (0), Eb major (3b), Bb major (2b), F major (1b), C major (0), G major (1#), C major (0), C major (0), Eb major (3b), C major (0), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), C minor (3b), C major (0), C major (0), F major (1b), Bb major (2b), Eb minor (6b), C major (0), C major (0), Eb major (3b), C major (0), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), Eb major (3b), C minor (3b), C major (0), C major (0), C major (0), C minor (3b), C major (0), G major (1#), C major (0), C minor (3b), C major (0), Eb major (3b)
F# major (6#), A minor (0), C minor (3b), C major (0), C major (0), C major (0), A major (3#), A major (3#), A major (3#), F# minor (3#), A major (3#), C major (0), C major (0), C major (0), C major (0), C minor (3b), C minor (3b), A minor (0), A major (3#), A major (3#), A minor (0), A minor (0), A minor (0), A major (3#), A major (3#), F# minor (3#), B minor (2#), D minor (1b), A minor (0), C major (0), C major (0), C minor (3b), C major (0), C major (0), C major (0), C major (0), C major (0), D major (2#), A major (3#), A minor (0), A minor (0), E minor (1#), C# minor (4#)
Eb minor (6b), C minor (3b), Eb major (3b), Bb major (2b), Bb major (2b), Bb major (2b), G minor (2b), G major (1#), C major (0), Eb major (3b), C major (0), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), C minor (3b), C major (0), C major (0), F major (1b), Bb major (2b), Eb major (3b), C major (0), F major (1b), Ab minor (7b), Ab minor (7b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), Eb major (3b), C minor (3b), C major (0), C major (0), C major (0), C minor (3b), C major (0), G major (1#), C major (0), C minor (3b), F minor (4b), Bb minor (5b)
D# minor (6#), A minor (0), C minor (3b), C major (0), C major (0), C major (0), G major (1#), G major (1#), C major (0), C minor (3b), C major (0), F major (1b), C major (0), C major (0), C major (0), C minor (3b), C minor (3b), C major (0), D major (2#), A major (3#), A minor (0), A minor (0), A minor (0), A major (3#), A major (3#), F# minor (3#), B minor (2#), D minor (1b), A minor (0), C major (0), C major (0), C minor (3b), C major (0), C major (0), C major (0), C major (0), C major (0), D major (2#), A major (3#), A minor (0), A minor (0), E minor (1#), C# minor (4#)
Cb major (7b), F major (1b), F minor (4b), F major (1b), F major (1b), F major (1b), G major (1#), C major (0), F major (1b), F minor (4b), F major (1b), F major (1b), F major (1b), F minor (4b), F major (1b), Ab major (4b), Eb major (3b), C minor (3b), C major (0), C major (0), F major (1b), F major (1b), Eb major (3b), C major (0), F major (1b), F minor (4b), F major (1b), F major (1b), F major (1b), F minor (4b), F major (1b), Ab major (4b), F minor (4b), F major (1b), F major (1b), F major (1b), C minor (3b), C major (0), D minor (1b), F major (1b), F major (1b), F major (1b), F minor (4b)
C# major (7#), A minor (0), C minor (3b), C major (0), C major (0), G major (1#), G major (1#), G major (1#), G major (1#), C minor (3b), C major (0), F major (1b), C major (0), C major (0), C major (0), C minor (3b), C minor (3b), G major (1#), D major (2#), A major (3#), A minor (0), A minor (0), A minor (0), A major (3#), A major (3#), F# minor (3#), B minor (2#), D minor (1b), A minor (0), C major (0), C major (0), C minor (3b), C major (0), G major (1#), G major (1#), C major (0), C major (0), G major (1#), D major (2#), G major (1#), G major (1#), E minor (1#), C# minor (4#)
Ab minor (7b), F major (1b), F minor (4b), F major (1b), F major (1b), F major (1b), G major (1#), C major (0), F major (1b), F minor (4b), F major (1b), F major (1b), F major (1b), F minor (4b), F major (1b), Ab major (4b), Eb major (3b), C minor (3b), C major (0), C major (0), F major (1b), F major (1b), Eb major (3b), C major (0), F major (1b), Ab minor (7b), Ab minor (7b), Eb major (3b), C minor (3b), F minor (4b), F major (1b), Ab major (4b), F minor (4b), F major (1b), F major (1b), F major (1b), F minor (4b), F major (1b), D minor (1b), F major (1b), F major (1b), F major (1b), F minor (4b)
A# minor (7#), A minor (0), C minor (3b), C major (0), C major (0), G major (1#), G major (1#), G major (1#), G major (1#), C minor (3b), C major (0), F major (1b), C major (0), C major (0), C major (0), C minor (3b), C minor (3b), G major (1#), D major (2#), A major (3#), A minor (0), A minor (0), A minor (0), E minor (1#), A minor (0), C minor (3b), C major (0), F major (1b), C major (0), C major (0), C major (0), C minor (3b), C major (0), G major (1#), G major (1#), C major (0), C major (0), G major (1#), D major (2#), G major (1#), G major (1#), E minor (1#), C# minor (4#)
